title,user_score,year,duration,country,usa_gross,world_gross
zyzzyx rd,41.0,2006,90,USA,30,30
chicas paranoicas,72.0,2015,100,Spain,78,78
perro come perro,67.0,2008,106,Colombia,80,80
the objective,55.0,2008,90,"USA, Morocco",95,95
dixie y la rebelión zombi,46.0,2014,82,Spain,120,120
lepa sela lepo gore,87.0,1996,115,Federal Republic of Yugoslavia,211,211
trojan war,57.0,1997,84,USA,309,309
cinemanovels,51.0,2013,89,Canada,398,398
state park,47.0,1988,87,"USA, Canada, UK",421,421
the dark hours,60.0,2005,80,Canada,423,423
serum,30.0,2006,89,USA,440,440
green is gold,60.0,2016,81,USA,455,455
rome & jewel,42.0,2008,91,USA,470,470
kanaria,69.0,2004,132,Japan,504,504
fahrenheit 451,72.0,1966,112,UK,509,509
la nuit américaine,80.0,1973,116,"France, Italy",509,509
baisers volés,77.0,1968,91,France,509,509
domicile conjugal,75.0,1970,100,"France, Italy",509,509
la femme d'à côté,73.0,1981,106,France,509,509
l'amour en fuite,71.0,1979,94,France,509,509
vivement dimanche!,73.0,1983,110,France,509,509
les deux anglaises et le continent,74.0,1971,130,France,509,509
la chambre verte,70.0,1978,94,France,509,509
meeting evil,53.0,2012,89,USA,525,525
higher power,48.0,2018,93,USA,528,528
the pit,58.0,1981,96,Canada,560,560
shake hands with the devil,76.0,2007,112,Canada,594,594
steve + sky,69.0,2004,97,Belgium,624,624
edwin boyd,62.0,2011,105,Canada,625,625
nature calls,40.0,2012,79,USA,646,646
syrup,57.0,2013,90,USA,663,663
a girl like grace,59.0,2015,93,USA,713,713
a new day in old sana'a,62.0,2005,83,"UK, Yemen",737,737
uncut,47.0,2003,78,Italy,762,762
flakes,60.0,2007,84,USA,778,778
issues,56.0,2005,87,USA,783,783
the untold story,54.0,2019,104,USA,790,790
disfigured,65.0,2008,96,USA,829,829
doing time for patsy cline,62.0,1997,95,Australia,831,831
officer downe,42.0,2016,88,USA,850,850
the underground comedy movie,22.0,1999,88,USA,856,856
big muddy,49.0,2014,104,Canada,881,881
in her line of fire,38.0,2006,88,"Germany, USA",884,884
how to be a serial killer,55.0,2008,91,USA,899,899
high strung,68.0,1992,93,USA,904,904
the trouble with men and women,47.0,2005,80,UK,967,967
oublier cheyenne,63.0,2005,86,France,973,973
the jimmy show,52.0,2001,96,USA,1000,1000
how to rob a bank (and 10 tips to actually get away with it),61.0,2007,81,USA,1006,1006
remnants,39.0,2013,94,USA,1022,1022
absence,41.0,2013,84,USA,1031,1031
the transcendents,92.0,2018,96,USA,1090,1090
jack & diane,44.0,2012,110,USA,1142,1142
a fish in the bathtub,58.0,1998,96,USA,1237,1237
altered perception,28.0,2017,79,USA,1259,1259
the hours and times,62.0,1991,57,USA,1273,1273
3 nights in the desert,51.0,2014,90,USA,1297,1297
exorcism,18.0,2003,98,USA,1303,1303
el leyton,42.0,2002,95,"Chile, France",1332,1332
the dog problem,63.0,2006,88,USA,1344,1344
beauty & the beholder,44.0,2018,95,USA,1368,1368
ice blues,64.0,2008,98,"Canada, USA",1377,1377
the last wave,70.0,1977,106,Australia,957,1382
"love, honour and obey",65.0,2000,103,UK,1400,1400
drool,57.0,2009,85,USA,1403,1403
der wald vor lauter bäumen,72.0,2003,81,Germany,1410,1410
shwaas,83.0,2004,107,India,1416,1416
kalyug,65.0,2005,126,India,1435,1435
the package,50.0,2013,95,"USA, Canada",1469,1469
henchmen,51.0,2018,89,Canada,1469,1469
divine intervention,39.0,2007,100,USA,1485,1485
blackwoods,28.0,2001,92,"Canada, Germany",1500,1500
rhymes for young ghouls,65.0,2013,88,Canada,1529,1529
the tunnel,59.0,2011,90,Australia,1532,1532
the groomsmen,50.0,2003,85,"South Africa, USA",1554,1554
pups,63.0,1999,99,USA,1590,1590
miss india america,54.0,2015,95,USA,1598,1598
forever,53.0,2015,94,USA,1598,1598
pusher,74.0,1996,110,Denmark,1605,1605
pusher iii,73.0,2005,108,Denmark,1605,1605
the sticky fingers of time,61.0,1997,81,USA,1610,1610
cut snake,58.0,2014,94,Australia,1625,1625
drown,56.0,2015,93,Australia,1631,1631
headspace,46.0,2005,89,USA,1650,1650
i want you,61.0,1998,87,UK,1672,1672
house of usher,29.0,2008,84,USA,1677,1677
dystopia: 2013,27.0,2012,122,USA,1708,1708
the looking glass,59.0,2015,110,USA,1711,1711
tarik el hob,66.0,2001,70,France,1714,1714
das boot ist voll,71.0,1981,101,"Switzerland, West Germany, Austria",1718,1718
dark forest,51.0,2015,75,Canada,1739,1739
detention of the dead,45.0,2012,87,USA,1777,1777
ghosted,46.0,2009,89,"Taiwan, Germany",1780,1780
the canyon,59.0,2009,102,USA,1785,1785
detour,62.0,2016,97,"UK, South Africa, United Arab Emirates",1788,1788
i kissed a vampire,41.0,2010,91,USA,1794,1794
by hook or by crook,57.0,2001,98,USA,1802,1802
now & later,51.0,2009,99,USA,1808,1808
abominable,51.0,2006,94,USA,1810,1810
american strays,52.0,1996,97,USA,1910,1910
mr. smith gets a hustler,47.0,2002,91,USA,1915,1915
shuttle,57.0,2008,107,USA,1925,1925
best man down,64.0,2012,89,USA,1938,1938
sikandar,64.0,2009,110,India,1954,1954
püha tõnu kiusamine,72.0,2009,114,"Estonia, Finland, Sweden, France",1963,1963
faqs,58.0,2005,95,USA,1967,1967
steal me,58.0,2005,95,USA,1967,1967
falling awake,59.0,2009,110,USA,1978,1978
the watermelon woman,70.0,1996,90,USA,1989,1989
the surfer king,37.0,2006,95,USA,1990,1990
enemies of laughter,55.0,2000,90,USA,2000,2000
the tenants,52.0,2005,93,"USA, Germany",2010,2010
angels crest,58.0,2011,92,"Canada, UK",832,2037
murder.com,35.0,2008,85,Germany,2070,2070
red flag,55.0,2012,85,USA,2075,2075
rubberneck,53.0,2012,83,USA,2075,2075
dayveon,64.0,2017,75,USA,2077,2077
missionary,53.0,2013,90,USA,2120,2120
the velocity of gary,50.0,1998,100,USA,2143,2143
better living,44.0,1998,95,USA,2147,2147
the 4th tenor,53.0,2002,97,USA,2152,2152
side effects,49.0,2005,90,USA,2216,2216
virgil bliss,58.0,2001,93,USA,2219,2219
you wont miss me,49.0,2009,81,USA,2240,2240
memoria,51.0,2015,70,USA,2242,2242
red christmas,43.0,2016,82,Australia,2255,2255
the pool boys,47.0,2009,107,USA,2269,2269
goldie,53.0,2019,88,USA,2302,2302
the happy house,44.0,2013,81,USA,2311,2311
lotus eaters,51.0,2011,78,UK,2325,2325
who shot patakango?,45.0,1989,102,USA,2343,2343
oberst redl,76.0,1985,144,"Yugoslavia, Hungary, Austria, West Germany",2357,2357
the village barbershop,69.0,2008,99,USA,2359,2359
scissors,52.0,1991,105,USA,2368,2368
daniel & ana,62.0,2009,90,"Mexico, Spain",2372,2372
ek hazarachi note,73.0,2014,89,India,2404,2404
zig zag,59.0,2002,101,USA,2418,2418
l.a. slasher,33.0,2015,84,"USA, UK",2421,2421
the ghastly love of johnny x,56.0,2012,106,USA,2436,2436
motocross kids,39.0,2004,82,USA,2462,2462
breaking glass,69.0,1980,104,UK,2471,2471
the wait,48.0,2013,96,USA,2480,2480
mekong hotel,62.0,2012,61,"Thailand, UK",2502,2502
swing,54.0,2003,98,USA,2509,2509
miles,57.0,2016,90,USA,2537,2537
two-bit waltz,51.0,2014,81,USA,2540,2540
whatever happened to harold smith?,64.0,1999,95,"UK, USA",2543,2543
cassadaga,53.0,2011,108,USA,2544,2544
