rank,title,year,rating,genres
1,black panther,2018,97,action|adventure
2,mad max: fury road,2015,97,action|adventure
3,wonder woman,2017,93,action|adventure
4,metropolis,1927,99,action|adventure
5,coco,2017,97,action|adventure
6,dunkirk,2017,92,action|adventure
7,incredibles 2,2018,94,action|adventure
8,star wars: the last jedi,2017,91,action|adventure
9,logan,2017,93,action|adventure
10,star wars: episode vii - the force awakens,2015,93,action|adventure
11,king kong,1933,98,action|adventure
12,the adventures of robin hood,1938,100,action|adventure
13,thor: ragnarok,2017,92,action|adventure
14,baby driver,2017,93,action|adventure
15,zootopia,2016,97,action|adventure
16,seven samurai,1956,100,action|adventure
17,spider-man: homecoming,2017,92,action|adventure
18,up,2009,98,action|adventure
19,the jungle book,2016,95,action|adventure
20,war for the planet of the apes,2017,93,action|adventure
21,the treasure of the sierra madre,1948,100,action|adventure
22,lawrence of arabia,1962,98,action|adventure
23,the dark knight,2008,94,action|adventure
24,captain america: civil war,2016,91,action|adventure
25,jaws,1975,97,action|adventure
26,harry potter and the deathly hallows - part 2,2011,96,action|adventure
27,the hurt locker,2009,97,action|adventure
28,aliens,1986,99,action|adventure
29,the lego movie,2014,96,action|adventure
30,skyfall,2012,92,action|adventure
31,ant-man and the wasp,2018,88,action|adventure
32,star wars: episode iv - a new hope,1977,93,action|adventure
33,wall-e,2008,96,action|adventure
34,moana,2016,95,action|adventure
35,the searchers,1956,100,action|adventure
36,star trek,2009,94,action|adventure
37,kubo and the two strings,2016,97,action|adventure
38,the 39 steps,1935,96,action|adventure
39,rio bravo,1959,100,action|adventure
40,the terminator,1984,100,action|adventure
41,mission: impossible rogue nation,2015,93,action|adventure
42,marvel's the avengers,2012,92,action|adventure
43,the african queen,1951,98,action|adventure
44,star wars: episode v - the empire strikes back,1980,95,action|adventure
45,once upon a time in the west,1968,98,action|adventure
46,apocalypse now,1979,96,action|adventure
47,blade runner 2049,2017,87,action|adventure
48,the french connection,1971,98,action|adventure
49,true grit,2010,96,action|adventure
50,isle of dogs,2018,89,action|adventure
51,throne of blood,1957,98,action|adventure
52,"aguirre, the wrath of god",1972,98,action|adventure
53,badlands,1974,98,action|adventure
54,avengers: infinity war,2018,84,action|adventure
55,yellow submarine,1968,97,action|adventure
56,guardians of the galaxy,2014,91,action|adventure
57,iron man,2008,93,action|adventure
58,chicken run,2000,97,action|adventure
59,spartacus,1960,96,action|adventure
60,the princess bride,1987,97,action|adventure
61,hunt for the wilderpeople,2016,96,action|adventure
62,ghostbusters,1984,97,action|adventure
63,goldfinger,1964,97,action|adventure
64,paths of glory,1957,95,action|adventure
65,casino royale,2006,94,action|adventure
66,all is lost,2013,94,action|adventure
67,ran,1985,96,action|adventure
68,the lego batman movie,2017,90,action|adventure
69,doctor strange,2016,89,action|adventure
70,a fistful of dollars,1964,98,action|adventure
71,assault on precinct 13,1976,98,action|adventure
72,x-men: days of future past,2014,90,action|adventure
73,no country for old men,2007,93,action|adventure
74,the lord of the rings: the two towers,2002,95,action|adventure
75,looper,2012,93,action|adventure
76,back to the future,1985,96,action|adventure
77,the right stuff,1983,98,action|adventure
78,gojira,1956,93,action|adventure
79,"crouching tiger, hidden dragon",2001,97,action|adventure
80,the fugitive,1993,96,action|adventure
81,dawn of the planet of the apes,2014,90,action|adventure
82,mad max 2: the road warrior,1982,98,action|adventure
83,mandy,2018,92,action|adventure
84,who framed roger rabbit,1988,97,action|adventure
85,annihilation,2018,89,action|adventure
86,close encounters of the third kind,1977,96,action|adventure
87,diva,1981,98,action|adventure
88,the bridge on the river kwai,1957,94,action|adventure
89,babe,1995,97,action|adventure
